COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,CATEGORY (i.e.ISCED description),HEI
Internet Systems Development,LC235,205,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Internet Systems Development,LC236,262,260,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Computer Networks and Systems Management,LC239,307,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Construction Management,LC241,255,,Architecture and construction,Limerick Institute of Technology
Property Valuation and Management,LC242,282,,Architecture and construction,Limerick Institute of Technology
Quantity Surveying,LC243,294,,Architecture and construction,Limerick Institute of Technology
Built Environment (Common Entry),LC248,288,,Architecture and construction,Limerick Institute of Technology
Civil Engineering,LC251,206,,Architecture and construction,Limerick Institute of Technology
Civil Engineering Management,LC252,270,,Architecture and construction,Limerick Institute of Technology
Interior Design,LC257,264,,Arts,Limerick Institute of Technology
Applied Biology,LC260,326,,Biological and related sciences,Limerick Institute of Technology
Clinical Technology,LC263,294,,Health,Limerick Institute of Technology
Forensic and Pharmaceutical Sciences,LC265,413,,Physical sciences,Limerick Institute of Technology
Drug and Medicinal Product Analysis,LC266,262,,Environment,Limerick Institute of Technology
Forensic and Pharmaceutical Sciences,LC267,329,,Physical sciences,Limerick Institute of Technology
Medical Technology,LC268,289,,Health,Limerick Institute of Technology
Music Technology and Production,LC270,307,,Arts,Limerick Institute of Technology
Electrical Engineering,LC271,261,,Engineering and engineering trades,Limerick Institute of Technology
Electrical Engineering,LC275,298,,Engineering and engineering trades,Limerick Institute of Technology
Creative Broadcast and Film Production,LC276,297,,Arts,Limerick Institute of Technology
Industrial Automation and Robotic Systems,LC277,232,,Engineering and engineering trades,Limerick Institute of Technology
Renewable and Electrical Energy Engineering,LC278,280,,Engineering and engineering trades,Limerick Institute of Technology
Electronic Engineering,LC279,214,,Engineering and engineering trades,Limerick Institute of Technology
Automobile Technology,LC281,208,,Engineering and engineering trades,Limerick Institute of Technology
Precision Engineering,LC283,227,,Engineering and engineering trades,Limerick Institute of Technology
"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,,Engineering and engineering trades,Limerick Institute of Technology
Mechanical Engineering,LC285,272,,Engineering and engineering trades,Limerick Institute of Technology
Road Transport Technology and Management,LC286,264,,Engineering and engineering trades,Limerick Institute of Technology
Mechanical Engineering,LC288,347,346,Engineering and engineering trades,Limerick Institute of Technology
Precision Engineering,LC289,291,,Engineering and engineering trades,Limerick Institute of Technology
Community Sport Development,LC290,188,,Personal services,Limerick Institute of Technology
Social Care Work,LC292,367,,Welfare,Limerick Institute of Technology
Business Studies with Travel and Tourism Management,LC293,307,,Personal services,Limerick Institute of Technology
Business Studies with Event Management,LC294,279,,Personal services,Limerick Institute of Technology
Business Studies with Sports Management,LC295,252,,Business and administration,Limerick Institute of Technology
Community Development,LC297,235,,Social and behavioural sciences,Limerick Institute of Technology
Business,LC320,346,,Business and administration,Limerick Institute of Technology
Business with Computing,LC330,297,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Computing,LC336,207,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Interior Design,LC340,350,,Arts,Limerick Institute of Technology
Biotechnology and Biopharmaceutical Sciences,LC362,413,,Biological and related sciences,Limerick Institute of Technology
Creative Broadcast and Film Production,LC371,309,,Arts,Limerick Institute of Technology
Music Technology and Production,LC372,325,,Arts,Limerick Institute of Technology
Renewable and Electrical Energy Engineering,LC374,318,,Engineering and engineering trades,Limerick Institute of Technology
Industrial Automation and Robotic Systems,LC375,317,,Engineering and engineering trades,Limerick Institute of Technology
Electronic Engineering,LC376,318,,Engineering and engineering trades,Limerick Institute of Technology
Automotive Engineering and Transport Management,LC380,303,298,Transport services,Limerick Institute of Technology
Business Studies in Beauty and Spa Management,LC392,236,,Personal services,Limerick Institute of Technology
Early Childhood Education and Care,LC393,236,,Welfare,Limerick Institute of Technology
Culinary Arts,LC398,163,,Personal services,Limerick Institute of Technology
Hospitality Supervision,LC399,148,,Personal services,Limerick Institute of Technology
Early Childhood Education and Care,LC401,297,,Welfare,Limerick Institute of Technology
Social Care Work,LC402,225,,Welfare,Limerick Institute of Technology
Environmental Science and Climate,LC408,279,,Environment,Limerick Institute of Technology
Data Analytics and Cyber Security,LC414,236,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Business,LC415,197,,Business and administration,Limerick Institute of Technology
Business,LC416,274,,Business and administration,Limerick Institute of Technology
Computing - Games Design and Development,LC418,270,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Sports Strength and Conditioning,LC422,298,,Personal services,Limerick Institute of Technology
Sports Strength and Conditioning,LC423,157,,Personal services,Limerick Institute of Technology
Environmental Science,LC425,278,,Environment,Limerick Institute of Technology
Environmental Science and Agriculture,LC428,278,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Limerick Institute of Technology
Early Childhood Education and Care,LC432,144,,Welfare,Limerick Institute of Technology
Environmental Science and Agriculture,LC434,297,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Limerick Institute of Technology
Game Art and Design (portfolio),LC502,852,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Creative Media and Design,LC504,192,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Creative Media and Design,LC517,234,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Digital Animation Production (portfolio),LC518,808,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Social Care Work,LC602,260,,Welfare,Limerick Institute of Technology
Early Childhood Education and Care,LC603,147,,Welfare,Limerick Institute of Technology
Business,LC605,195,,Business and administration,Limerick Institute of Technology
Social Care Work,LC612,320,,Welfare,Limerick Institute of Technology
Early Childhood Education and Care,LC613,242,,Welfare,Limerick Institute of Technology
Arts,LM002,348,,Humanities (except languages),University of Limerick
Law and Accounting,LM020,465,,Law,University of Limerick
Performing Arts (audition required),LM026,303,,Arts,University of Limerick
Criminal Justice,LM028,418,,Law,University of Limerick
Law Plus,LM029,490,,Law,University of Limerick
Psychology and Sociology,LM038,500,,Social and behavioural sciences,University of Limerick
Journalism and Digital Communication,LM039,402,,Journalism and information,University of Limerick
European Studies,LM040,369,,Humanities (except languages),University of Limerick
Applied Languages,LM044,442,,Languages,University of Limerick
Business Studies (options),LM050,431,,Business and administration,University of Limerick
International Business,LM056,528,,Business and administration,University of Limerick
Financial Mathematics,LM058,403,,Mathematics and statistics,University of Limerick
Technology Management,LM063,379,,Information and Communication Technologies (ICTs),University of Limerick
Food Science and Health,LM068,421,,Manufacturing and processing,University of Limerick
Product Design and Technology (portfolio required),LM076,408,,Manufacturing and processing,University of Limerick
Aeronautical Engineering,LM077,520,,Engineering and engineering trades,University of Limerick
Construction Management and Engineering,LM082,398,,Manufacturing and processing,University of Limerick
Sport and Exercise Sciences,LM089,474,,Personal services,University of Limerick
Physical Education with concurrent Teacher Education,LM090,532,,Education,University of Limerick
Languages with concurrent Teacher Education,LM091,517,,Education,University of Limerick
Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,,Education,University of Limerick
Equine Science,LM093,339,,Biological and related sciences,University of Limerick
Materials and Architectural Technology with concurrent Teacher Education,LM094,440,,Education,University of Limerick
Materials and Engineering Technology with concurrent Teacher Education,LM095,367,,Education,University of Limerick
Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,,Education,University of Limerick
Mathematics and Computer Science with concurrent Teacher Education,LM097,402,,Mathematics and statistics,University of Limerick
Architecture (portfolio requirement suspended),LM099,498,,Architecture and construction,University of Limerick
Physiotherapy,LM100,589,,Health,University of Limerick
Medicine  - Graduate Entry (GAMSAT required),LM101,55,,Health,University of Limerick
Psychology,LM102,509,,Social and behavioural sciences,University of Limerick
Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,,Health,University of Limerick
Chemical and Biochemical Engineering,LM115,454,,Physical sciences,University of Limerick
Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,,Engineering and engineering trades,University of Limerick
Electronic and Computer Engineering,LM118,403,,Engineering and engineering trades,University of Limerick
Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,,Information and Communication Technologies (ICTs),University of Limerick
Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,,Information and Communication Technologies (ICTs),University of Limerick
Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,,Biological and related sciences,University of Limerick
Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,,Mathematics and statistics,University of Limerick
Physics (Applied Physics or Mathematics & Physics),LM125,404,,Physical sciences,University of Limerick
General Nursing,LM150,475,,Health,University of Limerick
Mental Health Nursing,LM152,419,,Health,University of Limerick
Intellectual Disability Nursing,LM154,420,,Health,University of Limerick
Midwifery,LM156,469,,Health,University of Limerick
Equine Science,LM180,337,,Biological and related sciences,University of Limerick
Business - Common Entry,LY107,161,161,Business and administration,Letterkenny Institute of Technology
Business - Accounting,LY108,309,,Business and administration,Letterkenny Institute of Technology
Business,LY118,290,,Business and administration,Letterkenny Institute of Technology
Sports Studies,LY206,149,148,Personal services,Letterkenny Institute of Technology
Law with Criminal Justice,LY207,160,160,Law,Letterkenny Institute of Technology
Law,LY208,300,,Law,Letterkenny Institute of Technology
Sports and Exercise - Common Entry,LY228,300,,Personal services,Letterkenny Institute of Technology
Culinary Arts,LY317,229,224,Personal services,Letterkenny Institute of Technology
Hospitality And Tourism - Common Entry,LY327,170,170,Personal services,Letterkenny Institute of Technology
Design - Common Entry,LY408,320,,Arts,Letterkenny Institute of Technology
Digital Film and Video,LY427,172,170,Arts,Letterkenny Institute of Technology
Animation,LY437,198,223,Arts,Letterkenny Institute of Technology
Fashion with Promotion,LY447,266,279,Arts,Letterkenny Institute of Technology
Graphic and Digital Design,LY457,179,204,Arts,Letterkenny Institute of Technology
Quantity Surveying,LY507,181,181,Architecture and construction,Letterkenny Institute of Technology
Fire Safety Engineering,LY508,276,,Architecture and construction,Letterkenny Institute of Technology
Quantity Surveying,LY518,301,,Architecture and construction,Letterkenny Institute of Technology
Civil Engineering,LY527,165,163,Architecture and construction,Letterkenny Institute of Technology
Construction Management,LY528,271,,Architecture and construction,Letterkenny Institute of Technology
Electronic Engineering,LY607,160,,Engineering and engineering trades,Letterkenny Institute of Technology
Mechanical Engineering,LY608,300,,Engineering and engineering trades,Letterkenny Institute of Technology
Mechanical Engineering,LY617,180,180,Engineering and engineering trades,Letterkenny Institute of Technology
Electronic Engineering,LY618,312,,Engineering and engineering trades,Letterkenny Institute of Technology
Computer Games Development,LY707,204,,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology
Applied Computing,LY708,306,,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology
Computing,LY717,164,160,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology
Computer Security and Digital Forensics,LY737,169,169,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology
Computer Science,LY748,317,317,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology
Pharmacy Technician,LY806,232,,Health,Letterkenny Institute of Technology
Dental Nursing,LY816,233,223,Health,Letterkenny Institute of Technology
Bioscience,LY817,248,,Biological and related sciences,Letterkenny Institute of Technology
Science - Common Entry,LY818,303,,Biological and related sciences,Letterkenny Institute of Technology
Health Science with Physiotherapy Studies,LY826,456,401,Health,Letterkenny Institute of Technology
Agriculture - Common Entry,LY828,307,,Agriculture,Letterkenny Institute of Technology
Health Science with Occupational Therapy Studies,LY836,473,408,Health,Letterkenny Institute of Technology
Food Science and Nutrition,LY837,194,194,Biological and related sciences,Letterkenny Institute of Technology
Health Science with Dietetics Studies,LY846,316,316,Health,Letterkenny Institute of Technology
Veterinary Nursing,LY847,367,367,Veterinary,Letterkenny Institute of Technology
Pharmaceutical & Medicinal Science,LY867,163,163,Biological and related sciences,Letterkenny Institute of Technology
Agriculture,LY877,202,181,Agriculture,Letterkenny Institute of Technology
"Early Childhood Care, Health and Education",LY906,205,161,Welfare,Letterkenny Institute of Technology
General Nursing,LY908,400,,Health,Letterkenny Institute of Technology
Health and Social Care,LY916,181,,Health,Letterkenny Institute of Technology
Psychiatric Nursing,LY918,357,,Health,Letterkenny Institute of Technology
Intellectual Disability Nursing,LY928,326,,Health,Letterkenny Institute of Technology
"Early Childhood Care, Health and Education",LY968,303,,Welfare,Letterkenny Institute of Technology
Health & Social Care - Common Entry,LY978,280,,Health,Letterkenny Institute of Technology
Education - Primary Teaching (Froebel),MH001,507,,Education,Maynooth University
Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,Education,Maynooth University
Arts,MH101,318,,Humanities (except languages),Maynooth University
Music,MH103,#,,Arts,Maynooth University
Psychology - 3 years,MH106,521,,Social and behavioural sciences,Maynooth University
Social Science,MH107,346,,Social and behavioural sciences,Maynooth University
Media Studies,MH109,316,,Arts,Maynooth University
Community and Youth Work (Full-Time),MH116,#,,Welfare,Maynooth University
Science,MH201,360,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University
Biotechnology,MH202,455,,Biological and related sciences,Maynooth University
Biological and Geographical Sciences,MH203,430,,Biological and related sciences,Maynooth University
Physics with Astrophysics,MH204,422,,Physical sciences,Maynooth University
Theoretical Physics and Mathematics,MH206,510,,Mathematics and statistics,Maynooth University
Data Science,MH207,445,,Information and Communication Technologies (ICTs),Maynooth University
Biological and Biomedical Sciences,MH208,498,,Biological and related sciences,Maynooth University
Psychology (through Science) - 4 years,MH209,498,,Social and behavioural sciences,Maynooth University
Pharmaceutical and Biomedical Chemistry,MH210,487,,Physical sciences,Maynooth University
Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University
Engineering (Computer/Electronic/Communications),MH304,333,333,Engineering and engineering trades,Maynooth University
Product Design,MH305,357,,Engineering and engineering trades,Maynooth University
Robotics and Intelligent Devices,MH306,361,,Engineering and engineering trades,Maynooth University
Finance (options),MH401,357,,Business and administration,Maynooth University
Quantitative Finance,MH402,476,,Business and administration,Maynooth University
Accounting and Finance,MH403,422,,Business and administration,Maynooth University
Business (options),MH404,430,,Business and administration,Maynooth University
Equine Business,MH405,357,,Business and administration,Maynooth University
Business and Accounting,MH407,420,,Business and administration,Maynooth University
Entrepreneurship,MH411,371,,Business and administration,Maynooth University
LLB Law - four year Single Major Law programme,MH501,473,,Law,Maynooth University
Law (options),MH502,451,,Law,Maynooth University
Computer Science through Arts (options),MH601,352,,Information and Communication Technologies (ICTs),Maynooth University
Computer Science through Science (options),MH602,351,,Information and Communication Technologies (ICTs),Maynooth University
Computational Thinking,MH603,532,,Information and Communication Technologies (ICTs),Maynooth University
Early Childhood - Teaching and Learning (part-time),MH801,327,,Education,Maynooth University
"Community and Youth Work (part-time, in service)",MH802,#,#,Welfare,Maynooth University
"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,#,Social and behavioural sciences,Maynooth University
Contemporary & Applied Theatre Studies,MI001,375,,Arts,Mary Immaculate College
Arts,MI002,300,281,Arts,Mary Immaculate College
Education - Primary Teaching - International,MI004,577,,Education,Mary Immaculate College
Education - Primary Teaching,MI005,495,,Education,Mary Immaculate College
Education - Primary Teaching - Gaeltacht Applicants,MI006,456,,Education,Mary Immaculate College
Early Childhood Care and Education,MI007,357,,Education,Mary Immaculate College
Education and Psychology - Primary Teaching,MI008,588,,Education,Mary Immaculate College
"Education, Business Studies and Accounting",MI009,402,,Education,Mary Immaculate College
"Education, Business Studies and Religious Studies",MI010,368,,Education,Mary Immaculate College
"Education, Gaeilge and Religious Studies",MI011,409,,Education,Mary Immaculate College
"Education, Gaeilge and Business Studies",MI012,401,,Education,Mary Immaculate College
"Education, Mathematics and Gaeilge",MI013,444,,Education,Mary Immaculate College
"Education, Mathematics and Business Studies",MI014,434,,Education,Mary Immaculate College
Theology and Arts,MU001,290,290,Interdisciplinary programmes and qualifications involving arts and humanities,"Pontifical University, St Patrick's College"
Theology,MU002,440,,Interdisciplinary programmes and qualifications involving arts and humanities,"Pontifical University, St Patrick's College"
Computing (Degree Award options),NC003,260,,Information and Communication Technologies (ICTs),National College of Ireland (NCI)
Human Resource Management,NC005,300,,Business and administration,National College of Ireland (NCI)
Business,NC009,300,,Business and administration,National College of Ireland (NCI)
Psychology,NC010,400,,Social and behavioural sciences,National College of Ireland (NCI)
Marketing Practice,NC020,280,,Business and administration,National College of Ireland (NCI)
Accounting and Finance,NC022,337,,Business and administration,National College of Ireland (NCI)
Technology Management (with specialisations),NC023,261,,Information and Communication Technologies (ICTs),National College of Ireland (NCI)
Computing,NC102,220,,Information and Communication Technologies (ICTs),National College of Ireland (NCI)
Business,NC103,250,,Business and administration,National College of Ireland (NCI)
Business Computing,NC104,243,,Information and Communication Technologies (ICTs),National College of Ireland (NCI)
Montessori Education,NM701,187,,Education,St Nicholas Montessori College Ireland
Montessori Education,NM801,220,,Education,St Nicholas Montessori College Ireland
Arts and Humanities,PC402,200,121,Humanities (except languages),"Carlow College, St. Patrick`s"
Applied Social Studies - Professional Social Care,PC404,217,197,Welfare,"Carlow College, St. Patrick`s"
"Social, Political and Community Studies",PC405,253,216,Social and behavioural sciences,"Carlow College, St. Patrick`s"
Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209,Humanities (except languages),"Carlow College, St. Patrick`s"
English and History (fulfils Teaching Council requirements),PC411,255,209,Humanities (except languages),"Carlow College, St. Patrick`s"
Medicine - Undergraduate Entry (HPAT required),RC001,733,,Health,RCSI University of Medicine & Health Sciences
Physiotherapy,RC004,566,,Health,RCSI University of Medicine & Health Sciences
Pharmacy,RC005,579,,Health,RCSI University of Medicine & Health Sciences
Medicine - Graduate Entry (GAMSAT required),RC101,,,Health,RCSI University of Medicine & Health Sciences
Business,SG101,160,160,Business and administration,"Institute of Technology, Sligo"
Computing (Level 6 - General Entry),SG102,254,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Computing - Games Development,SG131,280,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Applied Sport with Business,SG134,215,,Personal services,"Institute of Technology, Sligo"
Business in Tourism with Event Management,SG135,187,,Personal services,"Institute of Technology, Sligo"
Computing - Software Development,SG136,272,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Computing (Computer Networks and Cloud Infrastructure),SG137,324,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Computing (Level 7 - General Entry),SG138,260,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Business,SG141,261,,Business and administration,"Institute of Technology, Sligo"
Business in International Marketing and Languages (French),SG142,279,,Business and administration,"Institute of Technology, Sligo"
Business in International Marketing and Languages (Spanish),SG144,270,,Business and administration,"Institute of Technology, Sligo"
Accounting,SG146,309,,Business and administration,"Institute of Technology, Sligo"
Sport with Business,SG147,307,,Personal services,"Institute of Technology, Sligo"
Tourism with Event Management,SG148,269,,Personal services,"Institute of Technology, Sligo"
Fine Art,SG231,449,449,Arts,"Institute of Technology, Sligo"
Creative Design,SG232,273,,Arts,"Institute of Technology, Sligo"
Performing Arts (Theatre Design),SG235,319,,Arts,"Institute of Technology, Sligo"
Performing Arts (Acting),SG236,235,,Arts,"Institute of Technology, Sligo"
Performing Arts,SG241,328,,Arts,"Institute of Technology, Sligo"
Early Childhood Care and Education,SG242,279,,Welfare,"Institute of Technology, Sligo"
Social Care Practice,SG243,301,,Welfare,"Institute of Technology, Sligo"
Fine Art,SG244,505,,Arts,"Institute of Technology, Sligo"
Creative Design,SG245,282,,Arts,"Institute of Technology, Sligo"
Computing,SG246,290,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
English and Psychology,SG247,309,,Social and behavioural sciences,"Institute of Technology, Sligo"
Sociology and Politics,SG248,281,,Social and behavioural sciences,"Institute of Technology, Sligo"
Writing and Literature,SG249,297,,Languages,"Institute of Technology, Sligo"
Application Design and User Experience,SG250,412,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Computing (Smart Technologies),SG251,327,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Software Development,SG252,307,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Computer Networks and Cloud Infrastructure,SG253,324,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo"
Writing and Literature Online,SG254,225,225,Languages,"Institute of Technology, Sligo"
Engineering (General Entry),SG300,209,,Engineering and engineering trades,"Institute of Technology, Sligo"
Construction Economics,SG302,184,,Architecture and construction,"Institute of Technology, Sligo"
Applied Construction Technology,SG308,171,,Architecture and construction,"Institute of Technology, Sligo"
Engineering (General Entry),SG330,243,,Engineering and engineering trades,"Institute of Technology, Sligo"
Interior Architecture and Design,SG331,236,,Architecture and construction,"Institute of Technology, Sligo"
Advanced Wood and Sustainable Building Technology,SG332,208,,Architecture and construction,"Institute of Technology, Sligo"
Mechanical Engineering,SG333,216,,Engineering and engineering trades,"Institute of Technology, Sligo"
Mechatronic Engineering,SG334,290,,Engineering and engineering trades,"Institute of Technology, Sligo"
Precision Engineering and Design,SG336,309,,Engineering and engineering trades,"Institute of Technology, Sligo"
Civil Engineering,SG338,245,,Architecture and construction,"Institute of Technology, Sligo"
Quantity Surveying,SG339,195,,Architecture and construction,"Institute of Technology, Sligo"
Civil Engineering,SG342,415,,Architecture and construction,"Institute of Technology, Sligo"
Quantity Surveying,SG343,311,,Architecture and construction,"Institute of Technology, Sligo"
Construction Project Management and Applied Technology,SG346,291,,Architecture and construction,"Institute of Technology, Sligo"
Architecture,SG347,360,,Architecture and construction,"Institute of Technology, Sligo"
Interior Architecture and Design,SG348,316,,Architecture and construction,"Institute of Technology, Sligo"
Science,SG401,209,209,Biological and related sciences,"Institute of Technology, Sligo"
Environmental Science with Ecology (Level 6),SG404,264,264,Environment,"Institute of Technology, Sligo"
Health and Exercise Science,SG406,367,,Health,"Institute of Technology, Sligo"
Pharmaceutical Science with Drug Development,SG431,269,,Physical sciences,"Institute of Technology, Sligo"
Occupational Safety and Health,SG433,223,,Hygiene and occupational health services,"Institute of Technology, Sligo"
Human Nutrition,SG434,280,,Health,"Institute of Technology, Sligo"
Health Science and Physiology,SG435,289,,Health,"Institute of Technology, Sligo"
Biomedical Science,SG436,262,,Health,"Institute of Technology, Sligo"
Forensic Investigation and Analysis,SG437,243,,Biological and related sciences,"Institute of Technology, Sligo"
Environmental Science with Ecology (Level 7),SG439,254,,Environment,"Institute of Technology, Sligo"
Occupational Safety and Health,SG442,290,,Hygiene and occupational health services,"Institute of Technology, Sligo"
Human Nutrition,SG443,356,,Health,"Institute of Technology, Sligo"
Science Undenominated,SG444,338,,Biological and related sciences,"Institute of Technology, Sligo"
Pharmaceutical Science with Drug Development,SG445,311,,Physical sciences,"Institute of Technology, Sligo"
Health Science and Physical Activity,SG447,328,,Health,"Institute of Technology, Sligo"
Forensic Investigation and Analysis,SG448,306,,Biological and related sciences,"Institute of Technology, Sligo"
Medical Biotechnology,SG449,341,,Health,"Institute of Technology, Sligo"
Environmental Science with Ecology (Level 8),SG450,300,,Environment,"Institute of Technology, Sligo"
Health and Medical Information Science (Online),SG530,285,285,Health,"Institute of Technology, Sligo"
Business Administration,SG535,228,,Business and administration,"Institute of Technology, Sligo"
Business,SG536,223,,Business and administration,"Institute of Technology, Sligo"
Marketing and Sales,SG537,234,,Business and administration,"Institute of Technology, Sligo"
Culinary Arts,TL620,189,189,Personal services,"Institute of Technology, Tralee"
Science (Biological and Environmental Studies),TL651,223,223,Environment,"Institute of Technology, Tralee"
Pharmacy Technician,TL652,260,,Health,"Institute of Technology, Tralee"
"Animation, Visual Effects and Motion Design (Level 7)",TL701,228,,Arts,"Institute of Technology, Tralee"
"TV, Radio and New Media (Level 7)",TL702,243,,Arts,"Institute of Technology, Tralee"
Computing with Software Development,TL710,232,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Computing with Games Development,TL711,224,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Computing (Degree Award options),TL715,251,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Computer Systems and Networking,TL716,269,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,219,,Business and administration,"Institute of Technology, Tralee"
Agricultural Mechanisation,TL743,,,Agriculture,"Institute of Technology, Tralee"
Agricultural Engineering,TL744,243,,Agriculture,"Institute of Technology, Tralee"
Civil and Environmental Engineering,TL745,261,261,Architecture and construction,"Institute of Technology, Tralee"
Engineering in Mechanical and Manufacturing Engineering,TL747,200,,Engineering and engineering trades,"Institute of Technology, Tralee"
Agricultural Science,TL748,249,,Biological and related sciences,"Institute of Technology, Tralee"
Pharmaceutical Science (Degree Award options),TL755,261,,Health,"Institute of Technology, Tralee"
Animal Bioscience,TL758,251,,Veterinary,"Institute of Technology, Tralee"
Health and Leisure (Degree Award Options),TL771,208,,Personal services,"Institute of Technology, Tralee"
Health and Leisure with Massage,TL772,218,,Personal services,"Institute of Technology, Tralee"
Coaching and Sports Performance,TL773,106,106,Personal services,"Institute of Technology, Tralee"
Early Childhood Care and Education,TL780,234,,Welfare,"Institute of Technology, Tralee"
Social Care,TL781,225,,Welfare,"Institute of Technology, Tralee"
"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,Arts,"Institute of Technology, Tralee"
"TV, Radio and New Media (Level 8)",TL802,325,,Arts,"Institute of Technology, Tralee"
Computing with Software Development,TL810,310,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Computing with Games Development,TL811,358,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Computing (Degree Award options),TL815,308,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee"
Event Management (3 year programme),TL823,299,,Personal services,"Institute of Technology, Tralee"
Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,Business and administration,"Institute of Technology, Tralee"
Agricultural Engineering,TL844,300,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee"
Civil Engineering,TL845,325,,Architecture and construction,"Institute of Technology, Tralee"
Manufacturing Engineering,TL847,302,,Manufacturing and processing,"Institute of Technology, Tralee"
Agricultural Science,TL848,308,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee"
Wildlife Biology (Degree Award options),TL851,309,,Environment,"Institute of Technology, Tralee"
Pharmaceutical Science (Degree Award options),TL855,317,,Health,"Institute of Technology, Tralee"
Veterinary Bioscience,TL858,308,,Veterinary,"Institute of Technology, Tralee"
Health and Leisure (Degree Award options),TL871,300,,Personal services,"Institute of Technology, Tralee"
Health and Leisure with Massage,TL872,309,,Personal services,"Institute of Technology, Tralee"
Coaching and Sports Performance,TL873,289,,Personal services,"Institute of Technology, Tralee"
Early Childhood Care and Education,TL880,307,,Welfare,"Institute of Technology, Tralee"
Social Care,TL881,308,,Welfare,"Institute of Technology, Tralee"
Counselling with Addiction - Mature applicants only,TL889,,,Welfare,"Institute of Technology, Tralee"
General Nursing and Mature Applicants,TL890,440,414,Health,"Institute of Technology, Tralee"
Mental Health Nursing and Mature Applicants,TL891,389,378,Health,"Institute of Technology, Tralee"
Music,TR002,435,429,Arts,Trinity College Dublin
History,TR003,497,493,Humanities (except languages),Trinity College Dublin
Law,TR004,566,565,Law,Trinity College Dublin
Philosophy,TR005,442,,Humanities (except languages),Trinity College Dublin
Psychology,TR006,567,555,Social and behavioural sciences,Trinity College Dublin
Clinical Speech and Language Studies,TR007,529,,Health,Trinity College Dublin
Music Education,TR009,420,,Education,Trinity College Dublin
History and Political Science,TR012,555,554,Humanities (except languages),Trinity College Dublin
"Philosophy, Political Science, Economics and Sociology",TR015,589,,Social and behavioural sciences,Trinity College Dublin
