Course_Code,Course Name,R1_Points19,R2_Points19
LM050,Business Studies,419,
LM056,International Business,511,
LM058,Financial Mathematics,434,
LM063,Technology Management,372,
LM068,Food Science and Health,400,
LM076,Product Design and Technology (portfolio required),#402,
LM077,Aeronautical Engineering,469,
LM082,Construction Management and Engineering,368,
LM089,Sport and Exercise Sciences,441,
LM090,Physical Education with concurrent Teacher Education,498*,
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,
LM093,Equine Science,338,
LM094,Materials and Architectural Technology with concurrent Teacher Education,405,
LM095,Materials and Engineering Technology with concurrent Teacher Education,358,
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,
LM099,Architecture (portfolio required),#419,
LM100,Physiotherapy,565*,
LM101,Medicine  - Graduate Entry (GAMSAT required),#55*,
LM102,Psychology,495,
LM103,Paramedic Studies (B and C1 Drivers Licence),#313,
LM115,Chemical and Biochemical Engineering,456,
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,
LM118,Electronic and Computer Engineering,401,
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,
LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,e)427,
LM125,Physics (Applied Physics/Mathematics and Physics),405,
LM150,General Nursing,440*,
LM152,Mental Health Nursing,388,
LM154,Intellectual Disability Nursing,381*,
LM156,Midwifery,429,
MU001,Theology and Arts,290,
MU002,Theology,292,
MH001,Education - Primary Teaching (Froebel),496*,
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),#441*,
MH101,Arts,316,
MH103,Music,#,
MH106,Psychology - 3 years,495,
MH107,Social Science,326,
MH109,Media Studies,317,
MH116,Community and Youth Work (Full-Time),#,
MH201,Science,350,
MH202,Biotechnology,429,
MH204,Physics with Astrophysics,420,
MH206,Theoretical Physics and Mathematics,498,
MH207,Data Science,434,
MH208,Biological and Biomedical Sciences,451,
MH209,Psychology (through Science) - 4 years,473,
MH210,Pharmaceutical and Biomedical Chemistry,446,
MH212,Science/Computer Science/Mathematics (with Education) - options,444,
MH304,Engineering (Computer/Electronic/Communications),371,
MH305,Product Design,358,
MH306,Robotics and Intelligent Devices,361,
MH401,Finance (options),352,
MH402,Quantitative Finance,476,
MH403,Accounting and Finance,402,
MH404,Business (options),400,
MH405,Equine Business,357,
MH407,Business and Accounting,401,
MH411,Entrepreneurship,358,
MH501,LLB Law - four year Single Major Law programme,451,
MH502,Law (options),410,
MH601,Computer Science through Arts (options),342,
MH602,Computer Science through Science (options),357,
MH603,Computational Thinking,520,
MH801,Early Childhood - Teaching and Learning (part-time),347,
MH802,"Community and Youth Work (part-time, in service",#,
MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",#,
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456*,
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400*,
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,
AS051,"Nutrition, Food and Business Management",337,
AS054,Home Economics,387,
AS110,General Nursing,391*,
AS130,Intellectual Disability Nursing,317,
SG141,Business,252,
SG142,Business in International Marketing and Sales with French,270,
SG144,Business in International Marketing and Sales with Spanish,280,
SG146,Accounting,307,
SG147,Sport with Business,269,
SG148,Tourism with Event Management,246,
SG149,Business in Finance and Investment,262,
SG241,Performing Arts,279,
SG242,Early Childhood Care and Education,278,
SG243,Social Care Practice,297,
SG244,Fine Art,#355,
SG245,Creative Design,261,
SG246,Computing,295,
SG247,English and Psychology,308,
SG248,Sociology and Politics,282,
SG249,Writing and Literature,279,
SG250,Application Design and User Experience,290,
SG251,Computing (Smart Technologies),303,
SG252,Software Development,300,
SG253,Computer Networks and Cloud Infrastructure,273,
SG343,Quantity Surveying,261,
SG346,Construction Project Management and Applied Technology,289,
SG347,Architecture,309,
SG441,Environmental Science,297,
SG442,Occupational Safety and Health,289,
SG443,Human Nutrition,357,
SG444,Science (Undenominated),308,
SG445,Pharmaceutical Science with Drug Development,347,
SG446,Applied Archaeology,289,
SG447,Health Science and Physical Activity,316,
SG448,Forensic Investigation and Analysis,306,
SG449,Medical Biotechnology,329,
TL801,Animation Visual Effects and Motion Design,281,
TL802,"TV, Radio and New Media",306,
TL803,Music Technology,264,
TL810,Computing with Software Development,309,
TL811,Computing with Games Development,310,
TL812,Computing with Digital Media,369,
TL815,Computing (Degree Award options),308,
TL823,Event Management (3 year programme),291,
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,
TL842,Construction Management,,
TL844,Agricultural Engineering,311,
TL845,Civil Engineering,300,
TL847,Manufacturing Engineering,,
TL848,Agricultural Science,331,
TL851,Wildlife Biology (Degree Award options),310,
TL855,Pharmaceutical Science (Degree Award options),342,
TL858,Veterinary Bioscience,326,
TL871,Health and Leisure (Degree Award options),303,
TL872,Health and Leisure with Massage,288,
TL873,Coaching and Sports Performance,282,
TL880,Early Childhood Care and Education,307,
TL889,Counselling with Addiction - Mature applicants only,#,
TL890,General Nursing and Mature Applicants,407,
TL891,Mental Health Nursing and Mature Applicants,367*,
WD001,Applied Computing (options),279,
WD002,Science (options),302,
WD005,Health Sciences (options),288,
WD006,Exercise Sciences (options),282,
WD007,Engineering (options),287,
WD025,Construction Management and Engineering,269,
WD027,Music,#290,
WD048,Business (options),278,
WD084,Accounting,307,
WD091,Hospitality Management,210,
WD116,General Nursing,413,
WD117,Psychiatric Nursing,361,
WD120,Intellectual Disability Nursing,338,
WD134,International Business,289,
WD137,Design (Visual Communications),253,
WD140,Laws,290,
WD144,Architecture,283,
WD147,Pharmaceutical Science,298,
WD148,Tourism Marketing,269,
WD149,Early Childhood Studies,288,
WD150,Criminal Justice Studies,271,
WD152,Visual Art,253,
WD161,Computer Forensics and Security,262,
WD162,Quantity Surveying,260,
WD163,Psychology,390,
WD186,Sports Coaching and Performance,276,
WD187,Social Science,271,
WD191,Agricultural Science,378,
WD192,Social Care Practice,279,
WD193,Marketing and Digital Media,290,
WD194,Culinary Arts,235,
WD195,Architectural and Building Information Modelling Technology,266,
WD200,Arts (options),221,
WD210,Software Systems Development,271,
WD211,Creative Computing,275,
WD212,Recreation and Sport Management,274,
WD230,Mechanical and Manufacturing Engineering,273,
